t'	a(t')	Trad(t')	Tb(t')	z(t')	i
1.1403263e-006	3.4361493e-004	7.9318440e+003	7.9211991e+003	2.9092345e+003	112
1.1534335e-006	3.4415561e-004	7.9193828e+003	7.9087168e+003	2.9046624e+003	113
1.1665407e-006	3.4469567e-004	7.9069750e+003	7.8962879e+003	2.9001099e+003	114
1.1796479e-006	3.4523511e-004	7.8946200e+003	7.8839119e+003	2.8955768e+003	115
1.1927551e-006	3.4577393e-004	7.8823177e+003	7.8715885e+003	2.8910630e+003	116
1.2058623e-006	3.4631215e-004	7.8700675e+003	7.8593172e+003	2.8865683e+003	117
1.2189695e-006	3.4684976e-004	7.8578692e+003	7.8470979e+003	2.8820927e+003	118
1.2320767e-006	3.4738675e-004	7.8457223e+003	7.8349300e+003	2.8776360e+003	119
1.2451839e-006	3.4792315e-004	7.8336265e+003	7.8228132e+003	2.8731980e+003	120
1.2582911e-006	3.4845894e-004	7.8215815e+003	7.8107472e+003	2.8687786e+003	121
1.2713983e-006	3.4899413e-004	7.8095869e+003	7.7987316e+003	2.8643777e+003	122
1.2845055e-006	3.4952872e-004	7.7976424e+003	7.7867661e+003	2.8599952e+003	123
1.2976127e-006	3.5006272e-004	7.7857476e+003	7.7748504e+003	2.8556309e+003	124
1.3107199e-006	3.5059613e-004	7.7739022e+003	7.7629840e+003	2.8512848e+003	125
1.3238271e-006	3.5112894e-004	7.7621057e+003	7.7511666e+003	2.8469566e+003	126
1.3369343e-006	3.5166117e-004	7.7503580e+003	7.7393980e+003	2.8426463e+003	127
1.3500415e-006	3.5219282e-004	7.7386587e+003	7.7276778e+003	2.8383538e+003	128
1.3631487e-006	3.5272387e-004	7.7270074e+003	7.7160056e+003	2.8340789e+003	129
1.3762559e-006	3.5325435e-004	7.7154039e+003	7.7043812e+003	2.8298215e+003	130
1.3893631e-006	3.5378425e-004	7.7038477e+003	7.6928041e+003	2.8255814e+003	131
1.4024703e-006	3.5431357e-004	7.6923386e+003	7.6812742e+003	2.8213587e+003	132
1.4155775e-006	3.5484232e-004	7.6808763e+003	7.6697910e+003	2.8171531e+003	133
1.4286847e-006	3.5537050e-004	7.6694605e+003	7.6583543e+003	2.8129646e+003	134
