t'	a(t')	Trad(t')	Tb(t')	z(t')	i
2.27200e-007	3.01293e-004	9.04602e+003	8.82613e+003	3.31803e+003	98
2.29630e-007	3.01372e-004	9.04365e+003	8.82156e+003	3.31716e+003	99
2.32060e-007	3.01451e-004	9.04128e+003	8.81699e+003	3.31629e+003	100
2.34490e-007	3.01530e-004	9.03891e+003	8.81242e+003	3.31542e+003	101
2.36920e-007	3.01609e-004	9.03654e+003	8.80785e+003	3.31455e+003	102
2.39350e-007	3.01688e-004	9.03417e+003	8.80329e+003	3.31369e+003	103
2.41780e-007	3.01767e-004	9.03181e+003	8.79874e+003	3.31282e+003	104
2.44210e-007	3.01846e-004	9.02945e+003	8.79418e+003	3.31195e+003	105
2.46640e-007	3.01925e-004	9.02709e+003	8.78964e+003	3.31109e+003	106
2.49070e-007	3.02004e-004	9.02473e+003	8.78509e+003	3.31022e+003	107
2.51500e-007	3.02082e-004	9.02237e+003	8.78055e+003	3.30935e+003	108
2.53930e-007	3.02161e-004	9.02002e+003	8.77602e+003	3.30849e+003	109
2.56360e-007	3.02240e-004	9.01766e+003	8.77149e+003	3.30763e+003	110
2.58790e-007	3.02319e-004	9.01531e+003	8.76696e+003	3.30676e+003	111
2.61220e-007	3.02398e-004	9.01296e+003	8.76244e+003	3.30590e+003	112
2.63650e-007	3.02477e-004	9.01061e+003	8.75792e+003	3.30504e+003	113
2.66080e-007	3.02556e-004	9.00826e+003	8.75340e+003	3.30418e+003	114
2.68510e-007	3.02635e-004	9.00591e+003	8.74889e+003	3.30332e+003	115
2.70940e-007	3.02713e-004	9.00357e+003	8.74439e+003	3.30245e+003	116
2.73370e-007	3.02792e-004	9.00122e+003	8.73988e+003	3.30159e+003	117
2.75800e-007	3.02871e-004	8.99888e+003	8.73538e+003	3.30074e+003	118
2.78230e-007	3.02950e-004	8.99654e+003	8.73089e+003	3.29988e+003	119
2.80660e-007	3.03029e-004	8.99420e+003	8.72640e+003	3.29902e+003	120
2.83090e-007	3.03107e-004	8.99186e+003	8.72191e+003	3.29816e+003	121
2.85520e-007	3.03186e-004	8.98953e+003	8.71743e+003	3.29730e+003	122
2.87950e-007	3.03265e-004	8.98719e+003	8.71295e+003	3.29645e+003	123
2.90380e-007	3.03344e-004	8.98486e+003	8.70848e+003	3.29559e+003	124
2.92810e-007	3.03422e-004	8.98253e+003	8.70401e+003	3.29473e+003	125
2.95240e-007	3.03501e-004	8.98020e+003	8.69954e+003	3.29388e+003	126
2.97670e-007	3.03580e-004	8.97787e+003	8.69508e+003	3.29303e+003	127
3.00100e-007	3.03659e-004	8.97554e+003	8.69062e+003	3.29217e+003	128
3.02530e-007	3.03737e-004	8.97321e+003	8.68616e+003	3.29132e+003	129
3.04960e-007	3.03816e-004	8.97089e+003	8.68171e+003	3.29047e+003	130
3.07390e-007	3.03895e-004	8.96857e+003	8.67726e+003	3.28961e+003	131
3.09820e-007	3.03973e-004	8.96625e+003	8.67282e+003	3.28876e+003	132
3.12250e-007	3.04052e-004	8.96393e+003	8.66838e+003	3.28791e+003	133
3.14680e-007	3.04131e-004	8.96161e+003	8.66395e+003	3.28706e+003	134
3.17110e-007	3.04209e-004	8.95929e+003	8.65952e+003	3.28621e+003	135
3.19540e-007	3.04288e-004	8.95698e+003	8.65509e+003	3.28536e+003	136
3.21970e-007	3.04367e-004	8.95466e+003	8.65066e+003	3.28451e+003	137
3.24400e-007	3.04445e-004	8.95235e+003	8.64625e+003	3.28366e+003	138
3.26830e-007	3.04524e-004	8.95004e+003	8.64183e+003	3.28282e+003	139
3.29260e-007	3.04602e-004	8.94773e+003	8.63742e+003	3.28197e+003	140
3.31690e-007	3.04681e-004	8.94542e+003	8.63301e+003	3.28112e+003	141
3.34120e-007	3.04759e-004	8.94312e+003	8.62860e+003	3.28028e+003	142
3.36550e-007	3.04838e-004	8.94081e+003	8.62420e+003	3.27943e+003	143
3.38980e-007	3.04917e-004	8.93851e+003	8.61981e+003	3.27859e+003	144
3.41410e-007	3.04995e-004	8.93621e+003	8.61541e+003	3.27774e+003	145
3.43840e-007	3.05074e-004	8.93391e+003	8.61103e+003	3.27690e+003	146
3.46270e-007	3.05152e-004	8.93161e+003	8.60664e+003	3.27605e+003	147
3.48700e-007	3.05231e-004	8.92931e+003	8.60226e+003	3.27521e+003	148
3.51130e-007	3.05309e-004	8.92702e+003	8.59788e+003	3.27437e+003	149
3.53560e-007	3.05388e-004	8.92472e+003	8.59351e+003	3.27353e+003	150
3.55990e-007	3.05466e-004	8.92243e+003	8.58914e+003	3.27269e+003	151
3.58420e-007	3.05545e-004	8.92014e+003	8.58477e+003	3.27184e+003	152
3.60850e-007	3.05623e-004	8.91785e+003	8.58041e+003	3.27100e+003	153
3.63280e-007	3.05701e-004	8.91556e+003	8.57605e+003	3.27016e+003	154
3.65710e-007	3.05780e-004	8.91327e+003	8.57170e+003	3.26933e+003	155
3.68140e-007	3.05858e-004	8.91099e+003	8.56734e+003	3.26849e+003	156
3.70570e-007	3.05937e-004	8.90870e+003	8.56300e+003	3.26765e+003	157
3.73000e-007	3.06015e-004	8.90642e+003	8.55865e+003	3.26681e+003	158
3.75430e-007	3.06094e-004	8.90414e+003	8.55431e+003	3.26597e+003	159
3.77860e-007	3.06172e-004	8.90186e+003	8.54998e+003	3.26514e+003	160
3.80290e-007	3.06250e-004	8.89958e+003	8.54564e+003	3.26430e+003	161
3.82720e-007	3.06329e-004	8.89731e+003	8.54131e+003	3.26347e+003	162
3.85150e-007	3.06407e-004	8.89503e+003	8.53699e+003	3.26263e+003	163
3.87580e-007	3.06485e-004	8.89276e+003	8.53267e+003	3.26180e+003	164
3.90010e-007	3.06564e-004	8.89048e+003	8.52835e+003	3.26096e+003	165
3.92440e-007	3.06642e-004	8.88821e+003	8.52404e+003	3.26013e+003	166
3.94870e-007	3.06720e-004	8.88594e+003	8.51973e+003	3.25930e+003	167
3.97300e-007	3.06799e-004	8.88368e+003	8.51542e+003	3.25847e+003	168
3.99730e-007	3.06877e-004	8.88141e+003	8.51112e+003	3.25764e+003	169
4.02160e-007	3.06955e-004	8.87915e+003	8.50682e+003	3.25680e+003	170
4.04590e-007	3.07033e-004	8.87688e+003	8.50252e+003	3.25597e+003	171
4.07020e-007	3.07112e-004	8.87462e+003	8.49823e+003	3.25514e+003	172
4.09450e-007	3.07190e-004	8.87236e+003	8.49394e+003	3.25431e+003	173
4.11880e-007	3.07268e-004	8.87010e+003	8.48966e+003	3.25349e+003	174
4.14310e-007	3.07346e-004	8.86784e+003	8.48538e+003	3.25266e+003	175
4.16740e-007	3.07425e-004	8.86559e+003	8.48110e+003	3.25183e+003	176
4.19170e-007	3.07503e-004	8.86333e+003	8.47682e+003	3.25100e+003	177
4.21600e-007	3.07581e-004	8.86108e+003	8.47255e+003	3.25017e+003	178
4.24030e-007	3.07659e-004	8.85882e+003	8.46829e+003	3.24935e+003	179
4.26460e-007	3.07737e-004	8.85657e+003	8.46402e+003	3.24852e+003	180
4.28890e-007	3.07816e-004	8.85433e+003	8.45976e+003	3.24770e+003	181
4.31320e-007	3.07894e-004	8.85208e+003	8.45551e+003	3.24687e+003	182
4.33750e-007	3.07972e-004	8.84983e+003	8.45126e+003	3.24605e+003	183
4.36180e-007	3.08050e-004	8.84759e+003	8.44701e+003	3.24522e+003	184
4.38610e-007	3.08128e-004	8.84534e+003	8.44276e+003	3.24440e+003	185
4.41040e-007	3.08206e-004	8.84310e+003	8.43852e+003	3.24358e+003	186
4.43470e-007	3.08284e-004	8.84086e+003	8.43428e+003	3.24276e+003	187
4.45900e-007	3.08363e-004	8.83862e+003	8.43005e+003	3.24194e+003	188
4.48330e-007	3.08441e-004	8.83638e+003	8.42582e+003	3.24111e+003	189
4.50760e-007	3.08519e-004	8.83415e+003	8.42159e+003	3.24029e+003	190
4.53190e-007	3.08597e-004	8.83191e+003	8.41737e+003	3.23947e+003	191
4.55620e-007	3.08675e-004	8.82968e+003	8.41315e+003	3.23865e+003	192
4.58050e-007	3.08753e-004	8.82745e+003	8.40893e+003	3.23784e+003	193
4.60480e-007	3.08831e-004	8.82522e+003	8.40472e+003	3.23702e+003	194
4.62910e-007	3.08909e-004	8.82299e+003	8.40051e+003	3.23620e+003	195
4.65340e-007	3.08987e-004	8.82076e+003	8.39631e+003	3.23538e+003	196
4.67770e-007	3.09065e-004	8.81853e+003	8.39210e+003	3.23456e+003	197
4.70200e-007	3.09143e-004	8.81631e+003	8.38790e+003	3.23375e+003	198
4.72630e-007	3.09221e-004	8.81408e+003	8.38371e+003	3.23293e+003	199
4.75060e-007	3.09299e-004	8.81186e+003	8.37952e+003	3.23212e+003	200
4.77490e-007	3.09377e-004	8.80964e+003	8.37533e+003	3.23130e+003	201
4.79920e-007	3.09455e-004	8.80742e+003	8.37114e+003	3.23049e+003	202
4.82350e-007	3.09533e-004	8.80520e+003	8.36696e+003	3.22967e+003	203
4.84780e-007	3.09611e-004	8.80299e+003	8.36279e+003	3.22886e+003	204
4.87210e-007	3.09689e-004	8.80077e+003	8.35861e+003	3.22805e+003	205
4.89640e-007	3.09767e-004	8.79856e+003	8.35444e+003	3.22724e+003	206
4.92070e-007	3.09845e-004	8.79634e+003	8.35027e+003	3.22642e+003	207
4.94500e-007	3.09923e-004	8.79413e+003	8.34611e+003	3.22561e+003	208
4.96930e-007	3.10000e-004	8.79192e+003	8.34195e+003	3.22480e+003	209
4.99360e-007	3.10078e-004	8.78972e+003	8.33779e+003	3.22399e+003	210
5.01790e-007	3.10156e-004	8.78751e+003	8.33364e+003	3.22318e+003	211
5.04220e-007	3.10234e-004	8.78530e+003	8.32949e+003	3.22237e+003	212
5.06650e-007	3.10312e-004	8.78310e+003	8.32534e+003	3.22156e+003	213
5.09080e-007	3.10390e-004	8.78090e+003	8.32120e+003	3.22076e+003	214
5.11510e-007	3.10468e-004	8.77869e+003	8.31706e+003	3.21995e+003	215
5.13940e-007	3.10545e-004	8.77649e+003	8.31293e+003	3.21914e+003	216
5.16370e-007	3.10623e-004	8.77430e+003	8.30879e+003	3.21833e+003	217
5.18800e-007	3.10701e-004	8.77210e+003	8.30467e+003	3.21753e+003	218
5.21230e-007	3.10779e-004	8.76990e+003	8.30054e+003	3.21672e+003	219
5.23660e-007	3.10857e-004	8.76771e+003	8.29642e+003	3.21592e+003	220
5.26090e-007	3.10934e-004	8.76552e+003	8.29230e+003	3.21511e+003	221
5.28520e-007	3.11012e-004	8.76332e+003	8.28818e+003	3.21431e+003	222
5.30950e-007	3.11090e-004	8.76113e+003	8.28407e+003	3.21350e+003	223
5.33380e-007	3.11168e-004	8.75894e+003	8.27996e+003	3.21270e+003	224
5.35810e-007	3.11245e-004	8.75676e+003	8.27586e+003	3.21190e+003	225
5.38240e-007	3.11323e-004	8.75457e+003	8.27176e+003	3.21110e+003	226
5.40670e-007	3.11401e-004	8.75239e+003	8.26766e+003	3.21030e+003	227
5.43100e-007	3.11479e-004	8.75020e+003	8.26356e+003	3.20949e+003	228
5.45530e-007	3.11556e-004	8.74802e+003	8.25947e+003	3.20869e+003	229
5.47960e-007	3.11634e-004	8.74584e+003	8.25538e+003	3.20789e+003	230
5.50390e-007	3.11712e-004	8.74366e+003	8.25130e+003	3.20709e+003	231
5.52820e-007	3.11789e-004	8.74148e+003	8.24722e+003	3.20629e+003	232
5.55250e-007	3.11867e-004	8.73931e+003	8.24314e+003	3.20550e+003	233
