t'	a(t')	Trad(t')	Tb(t')	z(t')	i
1.0223615e-006	3.2661894e-004	8.3445865e+003	8.3348895e+003	3.0606718e+003	94
1.0354687e-006	3.2702800e-004	8.3341487e+003	8.3244337e+003	3.0568421e+003	95
1.0485759e-006	3.2743680e-004	8.3237436e+003	8.3140106e+003	3.0530245e+003	96
1.0616831e-006	3.2784535e-004	8.3133710e+003	8.3036199e+003	3.0492187e+003	97
1.0747903e-006	3.2825363e-004	8.3030307e+003	8.2932615e+003	3.0454248e+003	98
1.0878975e-006	3.2866166e-004	8.2927226e+003	8.2829353e+003	3.0416427e+003	99
1.1010047e-006	3.2906944e-004	8.2824464e+003	8.2726411e+003	3.0378723e+003	100
1.1141119e-006	3.2947696e-004	8.2722021e+003	8.2623788e+003	3.0341136e+003	101
1.1272191e-006	3.2988423e-004	8.2619894e+003	8.2521481e+003	3.0303665e+003	102
1.1403263e-006	3.3029124e-004	8.2518083e+003	8.2419489e+003	3.0266310e+003	103
1.1534335e-006	3.3069800e-004	8.2416585e+003	8.2317811e+003	3.0229070e+003	104
1.1665407e-006	3.3110451e-004	8.2315400e+003	8.2216446e+003	3.0191945e+003	105
1.1796479e-006	3.3151076e-004	8.2214525e+003	8.2115390e+003	3.0154933e+003	106
1.1927551e-006	3.3191677e-004	8.2113959e+003	8.2014644e+003	3.0118035e+003	107
1.2058623e-006	3.3232252e-004	8.2013701e+003	8.1914205e+003	3.0081250e+003	108
1.2189695e-006	3.3272803e-004	8.1913748e+003	8.1814073e+003	3.0044577e+003	109
1.2320767e-006	3.3313328e-004	8.1814101e+003	8.1714245e+003	3.0008015e+003	110
1.2451839e-006	3.3353829e-004	8.1714756e+003	8.1614720e+003	2.9971565e+003	111
1.2582911e-006	3.3394305e-004	8.1615713e+003	8.1515496e+003	2.9935226e+003	112
1.2713983e-006	3.3434756e-004	8.1516970e+003	8.1416573e+003	2.9898997e+003	113
1.2845055e-006	3.3475182e-004	8.1418526e+003	8.1317949e+003	2.9862877e+003	114
1.2976127e-006	3.3515584e-004	8.1320379e+003	8.1219621e+003	2.9826866e+003	115
1.3107199e-006	3.3555961e-004	8.1222527e+003	8.1121590e+003	2.9790964e+003	116
1.3238271e-006	3.3596314e-004	8.1124971e+003	8.1023853e+003	2.9755170e+003	117
1.3369343e-006	3.3636643e-004	8.1027707e+003	8.0926409e+003	2.9719483e+003	118
1.3500415e-006	3.3676946e-004	8.0930734e+003	8.0829256e+003	2.9683904e+003	119
1.3631487e-006	3.3717226e-004	8.0834052e+003	8.0732393e+003	2.9648430e+003	120
1.3762559e-006	3.3757481e-004	8.0737658e+003	8.0635820e+003	2.9613063e+003	121
1.3893631e-006	3.3797712e-004	8.0641552e+003	8.0539533e+003	2.9577801e+003	122
1.4024703e-006	3.3837919e-004	8.0545732e+003	8.0443533e+003	2.9542644e+003	123
1.4155775e-006	3.3878102e-004	8.0450197e+003	8.0347817e+003	2.9507592e+003	124
1.4286847e-006	3.3918261e-004	8.0354945e+003	8.0252385e+003	2.9472643e+003	125
1.4417919e-006	3.3958396e-004	8.0259975e+003	8.0157235e+003	2.9437798e+003	126
